Método,Rho,Rango,Anisotropía,Bloque,Cobertura,Ratio Varianzas
BB,0.2,3,iso,4,0.901,0.859
CBB,0.2,3,iso,4,0.891,0.871
BB,0.2,3,iso,8,0.949,1.135
CBB,0.2,3,iso,8,0.959,1.187
BB,0.2,3,iso,16,0.95,0.948
CBB,0.2,3,iso,16,0.964,1.067
BB,0.2,3,iso,32,0.934,0.863
CBB,0.2,3,iso,32,0.956,1.092
BB,0.2,3,iso,48,0.893,0.725
CBB,0.2,3,iso,48,0.926,0.892
BB,0.2,3,iso,52,0.948,1.063
CBB,0.2,3,iso,52,0.958,0.993
BB,0.2,3,iso,64,0.823,0.605
CBB,0.2,3,iso,64,0.93,0.91
BB,0.2,3,aniso,4,0.915,0.814
CBB,0.2,3,aniso,4,0.916,0.826
BB,0.2,3,aniso,8,0.926,0.846
CBB,0.2,3,aniso,8,0.941,0.892
BB,0.2,3,aniso,16,0.903,0.861
CBB,0.2,3,aniso,16,0.921,0.958
BB,0.2,3,aniso,32,0.914,0.84
CBB,0.2,3,aniso,32,0.938,1.064
BB,0.2,3,aniso,48,0.903,0.781
CBB,0.2,3,aniso,48,0.939,0.962
BB,0.2,3,aniso,52,0.954,1.118
CBB,0.2,3,aniso,52,0.952,1.053
BB,0.2,3,aniso,64,0.855,0.653
CBB,0.2,3,aniso,64,0.919,0.976
BB,0.5,3,iso,4,0.944,0.943
CBB,0.5,3,iso,4,0.951,0.965
BB,0.5,3,iso,8,0.97,0.932
CBB,0.5,3,iso,8,0.966,0.98
BB,0.5,3,iso,16,0.946,0.88
CBB,0.5,3,iso,16,0.955,0.993
BB,0.5,3,iso,32,0.921,0.762
CBB,0.5,3,iso,32,0.948,0.968
BB,0.5,3,iso,48,0.915,0.803
CBB,0.5,3,iso,48,0.96,1.001
BB,0.5,3,iso,52,0.925,0.908
CBB,0.5,3,iso,52,0.926,0.862
BB,0.5,3,iso,64,0.847,0.599
CBB,0.5,3,iso,64,0.922,0.904
BB,0.5,3,aniso,4,0.911,0.709
CBB,0.5,3,aniso,4,0.911,0.727
BB,0.5,3,aniso,8,0.93,1.074
CBB,0.5,3,aniso,8,0.94,1.129
BB,0.5,3,aniso,16,0.946,1.013
CBB,0.5,3,aniso,16,0.958,1.119
BB,0.5,3,aniso,32,0.922,0.784
CBB,0.5,3,aniso,32,0.956,0.993
BB,0.5,3,aniso,48,0.934,0.918
CBB,0.5,3,aniso,48,0.964,1.133
BB,0.5,3,aniso,52,0.933,1.003
CBB,0.5,3,aniso,52,0.938,0.939
BB,0.5,3,aniso,64,0.849,0.622
CBB,0.5,3,aniso,64,0.946,0.943
BB,0.8,3,iso,4,0.966,0.858
CBB,0.8,3,iso,4,0.974,0.878
BB,0.8,3,iso,8,0.985,1.015
CBB,0.8,3,iso,8,0.988,1.073
BB,0.8,3,iso,16,0.946,0.778
CBB,0.8,3,iso,16,0.954,0.879
BB,0.8,3,iso,32,0.881,0.574
CBB,0.8,3,iso,32,0.915,0.734
BB,0.8,3,iso,48,0.887,0.698
CBB,0.8,3,iso,48,0.936,0.866
BB,0.8,3,iso,52,0.917,0.777
CBB,0.8,3,iso,52,0.92,0.733
BB,0.8,3,iso,64,0.836,0.58
CBB,0.8,3,iso,64,0.936,0.879
BB,0.8,3,aniso,4,0.93,0.728
CBB,0.8,3,aniso,4,0.935,0.745
BB,0.8,3,aniso,8,0.965,0.866
CBB,0.8,3,aniso,8,0.969,0.915
BB,0.8,3,aniso,16,0.943,0.852
CBB,0.8,3,aniso,16,0.951,0.949
BB,0.8,3,aniso,32,0.924,0.753
CBB,0.8,3,aniso,32,0.96,0.947
BB,0.8,3,aniso,48,0.894,0.731
CBB,0.8,3,aniso,48,0.936,0.906
BB,0.8,3,aniso,52,0.952,1.166
CBB,0.8,3,aniso,52,0.959,1.107
BB,0.8,3,aniso,64,0.855,0.647
CBB,0.8,3,aniso,64,0.931,0.975
BB,0.2,7,iso,4,0.811,0.939
CBB,0.2,7,iso,4,0.812,0.949
BB,0.2,7,iso,8,0.89,1.465
CBB,0.2,7,iso,8,0.894,1.532
BB,0.2,7,iso,16,0.906,1.222
CBB,0.2,7,iso,16,0.93,1.341
BB,0.2,7,iso,32,0.925,1.039
CBB,0.2,7,iso,32,0.958,1.272
BB,0.2,7,iso,48,0.93,1.05
CBB,0.2,7,iso,48,0.959,1.273
BB,0.2,7,iso,52,0.958,1.577
CBB,0.2,7,iso,52,0.96,1.427
BB,0.2,7,iso,64,0.881,0.785
CBB,0.2,7,iso,64,0.949,1.149
BB,0.2,7,aniso,4,0.706,0.749
CBB,0.2,7,aniso,4,0.721,0.764
BB,0.2,7,aniso,8,0.85,1.046
CBB,0.2,7,aniso,8,0.861,1.099
BB,0.2,7,aniso,16,0.922,1.128
CBB,0.2,7,aniso,16,0.938,1.243
BB,0.2,7,aniso,32,0.901,1.001
CBB,0.2,7,aniso,32,0.931,1.228
BB,0.2,7,aniso,48,0.894,0.959
CBB,0.2,7,aniso,48,0.938,1.15
BB,0.2,7,aniso,52,0.941,1.483
CBB,0.2,7,aniso,52,0.956,1.333
BB,0.2,7,aniso,64,0.863,0.783
CBB,0.2,7,aniso,64,0.959,1.142
BB,0.5,7,iso,4,0.786,0.774
CBB,0.5,7,iso,4,0.775,0.779
BB,0.5,7,iso,8,0.865,0.9
CBB,0.5,7,iso,8,0.876,0.946
BB,0.5,7,iso,16,0.943,1.11
CBB,0.5,7,iso,16,0.953,1.225
BB,0.5,7,iso,32,0.905,0.857
CBB,0.5,7,iso,32,0.925,1.054
BB,0.5,7,iso,48,0.88,0.693
CBB,0.5,7,iso,48,0.939,0.845
BB,0.5,7,iso,52,0.911,0.873
CBB,0.5,7,iso,52,0.916,0.802
BB,0.5,7,iso,64,0.828,0.571
CBB,0.5,7,iso,64,0.927,0.838
BB,0.5,7,aniso,4,0.671,0.582
CBB,0.5,7,aniso,4,0.667,0.595
BB,0.5,7,aniso,8,0.808,0.681
CBB,0.5,7,aniso,8,0.815,0.712
BB,0.5,7,aniso,16,0.926,1.006
CBB,0.5,7,aniso,16,0.941,1.114
BB,0.5,7,aniso,32,0.891,0.734
CBB,0.5,7,aniso,32,0.931,0.911
BB,0.5,7,aniso,48,0.925,0.895
CBB,0.5,7,aniso,48,0.954,1.067
BB,0.5,7,aniso,52,0.92,1.078
CBB,0.5,7,aniso,52,0.927,0.981
BB,0.5,7,aniso,64,0.84,0.744
CBB,0.5,7,aniso,64,0.938,1.088
BB,0.8,7,iso,4,0.929,0.767
CBB,0.8,7,iso,4,0.929,0.778
BB,0.8,7,iso,8,0.916,0.821
CBB,0.8,7,iso,8,0.924,0.859
BB,0.8,7,iso,16,0.927,0.711
CBB,0.8,7,iso,16,0.936,0.775
BB,0.8,7,iso,32,0.913,0.618
CBB,0.8,7,iso,32,0.943,0.76
BB,0.8,7,iso,48,0.91,0.643
CBB,0.8,7,iso,48,0.951,0.781
BB,0.8,7,iso,52,0.946,0.872
CBB,0.8,7,iso,52,0.943,0.798
BB,0.8,7,iso,64,0.797,0.382
CBB,0.8,7,iso,64,0.909,0.567
BB,0.8,7,aniso,4,0.816,0.473
CBB,0.8,7,aniso,4,0.811,0.483
BB,0.8,7,aniso,8,0.89,0.551
CBB,0.8,7,aniso,8,0.9,0.578
BB,0.8,7,aniso,16,0.907,0.721
CBB,0.8,7,aniso,16,0.926,0.794
BB,0.8,7,aniso,32,0.903,0.718
CBB,0.8,7,aniso,32,0.931,0.882
BB,0.8,7,aniso,48,0.899,0.679
CBB,0.8,7,aniso,48,0.93,0.825
BB,0.8,7,aniso,52,0.905,0.891
CBB,0.8,7,aniso,52,0.904,0.819
BB,0.8,7,aniso,64,0.86,0.596
CBB,0.8,7,aniso,64,0.946,0.891
BB,0.2,12,iso,4,0.617,0.918
CBB,0.2,12,iso,4,0.598,0.937
BB,0.2,12,iso,8,0.776,1.383
CBB,0.2,12,iso,8,0.778,1.45
BB,0.2,12,iso,16,0.902,1.785
CBB,0.2,12,iso,16,0.913,1.948
BB,0.2,12,iso,32,0.958,2.027
CBB,0.2,12,iso,32,0.98,2.423
BB,0.2,12,iso,48,0.939,1.899
CBB,0.2,12,iso,48,0.952,2.235
BB,0.2,12,iso,52,0.966,1.974
CBB,0.2,12,iso,52,0.961,1.728
BB,0.2,12,iso,64,0.909,1.396
CBB,0.2,12,iso,64,0.958,1.962
BB,0.2,12,aniso,4,0.614,0.722
CBB,0.2,12,aniso,4,0.606,0.738
BB,0.2,12,aniso,8,0.765,1.221
CBB,0.2,12,aniso,8,0.76,1.269
BB,0.2,12,aniso,16,0.846,1.435
CBB,0.2,12,aniso,16,0.876,1.571
BB,0.2,12,aniso,32,0.881,1.256
CBB,0.2,12,aniso,32,0.919,1.515
BB,0.2,12,aniso,48,0.9,1.554
CBB,0.2,12,aniso,48,0.935,1.776
BB,0.2,12,aniso,52,0.974,2.628
CBB,0.2,12,aniso,52,0.976,2.297
BB,0.2,12,aniso,64,0.861,1.482
CBB,0.2,12,aniso,64,0.945,2.06
BB,0.5,12,iso,4,0.615,0.451
CBB,0.5,12,iso,4,0.623,0.461
BB,0.5,12,iso,8,0.855,1.052
CBB,0.5,12,iso,8,0.857,1.079
BB,0.5,12,iso,16,0.906,1.489
CBB,0.5,12,iso,16,0.927,1.629
BB,0.5,12,iso,32,0.909,1.021
CBB,0.5,12,iso,32,0.949,1.221
BB,0.5,12,iso,48,0.971,1.482
CBB,0.5,12,iso,48,0.982,1.742
BB,0.5,12,iso,52,0.965,1.393
CBB,0.5,12,iso,52,0.96,1.229
BB,0.5,12,iso,64,0.899,0.858
CBB,0.5,12,iso,64,0.97,1.222
BB,0.5,12,aniso,4,0.55,0.555
CBB,0.5,12,aniso,4,0.539,0.569
BB,0.5,12,aniso,8,0.764,0.744
CBB,0.5,12,aniso,8,0.771,0.768
BB,0.5,12,aniso,16,0.846,0.898
CBB,0.5,12,aniso,16,0.869,0.994
BB,0.5,12,aniso,32,0.893,1.106
CBB,0.5,12,aniso,32,0.929,1.333
BB,0.5,12,aniso,48,0.87,0.907
CBB,0.5,12,aniso,48,0.907,1.051
BB,0.5,12,aniso,52,0.911,1.507
CBB,0.5,12,aniso,52,0.919,1.319
BB,0.5,12,aniso,64,0.823,0.822
CBB,0.5,12,aniso,64,0.907,1.156
BB,0.8,12,iso,4,0.71,0.336
CBB,0.8,12,iso,4,0.72,0.342
BB,0.8,12,iso,8,0.801,0.63
CBB,0.8,12,iso,8,0.823,0.655
BB,0.8,12,iso,16,0.925,0.669
CBB,0.8,12,iso,16,0.93,0.737
BB,0.8,12,iso,32,0.97,0.785
CBB,0.8,12,iso,32,0.985,0.94
